UID	iso2	FIPS	Admin2	Province_State	Lat	Long_	Combined_Key	Population	2/1/20	3/1/20	4/1/20	5/1/20	6/1/20	7/1/20	8/1/20	9/1/20	10/1/20	11/1/20	12/1/20	1/1/21	1/2/21	1/3/21	1/4/21	1/5/21	1/6/21	1/7/21	1/8/21	1/9/21
84001001	US	1001	Autauga	Alabama	32.53952745	-86.64408227	Autauga, Alabama, US	55869	0	0	0	3	5	11	20	23	28	31	42	50	50	50	50	50	50	50	50	53
84001003	US	1003	Baldwin	Alabama	30.72774991	-87.72207058	Baldwin, Alabama, US	223234	0	0	1	4	9	9	21	38	53	71	137	169	169	169	169	169	171	171	171	173
84001005	US	1005	Barbour	Alabama	31.868263	-85.3871286	Barbour, Alabama, US	24686	0	0	0	1	1	1	5	7	7	9	11	33	33	33	33	33	35	35	35	35
84001007	US	1007	Bibb	Alabama	32.99642064	-87.1251146	Bibb, Alabama, US	22394	0	0	0	0	1	1	2	7	10	15	18	46	46	46	46	46	48	48	48	48
84001009	US	1009	Blount	Alabama	33.98210918	-86.56790593	Blount, Alabama, US	57826	0	0	0	0	1	1	3	11	15	25	40	63	63	63	63	63	67	72	75	77
84001011	US	1011	Bullock	Alabama	32.10030533	-85.71265535	Bullock, Alabama, US	10101	0	0	0	0	6	9	11	13	16	17	19	22	22	22	22	22	22	22	28	28
84001013	US	1013	Butler	Alabama	31.75300095	-86.68057478	Butler, Alabama, US	19448	0	0	0	1	18	27	35	36	40	41	42	45	45	45	45	45	46	46	46	55
84001015	US	1015	Calhoun	Alabama	33.77483727	-85.82630386	Calhoun, Alabama, US	113605	0	0	0	3	3	5	9	32	44	65	121	157	157	157	157	157	158	158	159	168
84001017	US	1017	Chambers	Alabama	32.91360079	-85.39072749	Chambers, Alabama, US	33254	0	0	4	21	25	27	38	39	42	47	50	63	63	63	63	63	63	63	63	63
84001019	US	1019	Cherokee	Alabama	34.17805983	-85.60638968	Cherokee, Alabama, US	26196	0	0	0	0	3	7	7	11	13	15	24	22	22	22	22	22	25	25	24	24
84001021	US	1021	Chilton	Alabama	32.85044126	-86.7173256	Chilton, Alabama, US	44428	0	0	0	1	1	2	5	10	30	33	39	54	54	54	54	54	54	54	54	54
84001023	US	1023	Choctaw	Alabama	32.02227341	-88.2656443	Choctaw, Alabama, US	12589	0	0	0	0	10	12	12	12	12	12	14	22	22	22	22	22	22	22	22	22
84001025	US	1025	Clarke	Alabama	31.68099859	-87.83548597	Clarke, Alabama, US	23622	0	0	0	1	2	5	9	13	16	17	19	26	26	26	26	26	26	26	26	26
84001027	US	1027	Clay	Alabama	33.26984193	-85.85836077	Clay, Alabama, US	13235	0	0	0	1	2	2	5	6	9	12	24	34	34	34	34	34	34	34	35	35
84001029	US	1029	Cleburne	Alabama	33.67679204	-85.52005899	Cleburne, Alabama, US	14910	0	0	0	1	1	1	1	5	5	9	14	16	16	16	16	16	17	17	17	17
84001031	US	1031	Coffee	Alabama	31.39932826	-85.98901039	Coffee, Alabama, US	52342	0	0	0	0	1	2	5	5	5	11	15	38	38	38	38	38	42	42	42	42
